timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
2021-04-27T11:02:09Z,25-34,Education (Higher Education),Research and Instruction Librarian,NA,55000,,USD,,NA,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:02:21Z,25-34,Computing or Tech,Change & Internal Communications Manager,NA,54600,,GBP,,NA,United Kingdom,NA,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
2021-04-27T11:02:38Z,25-34,"Accounting, Banking & Finance",Marketing Specialist,NA,34000,,USD,,NA,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:02:40Z,25-34,Nonprofits,Program Manager,NA,62000,,USD,,NA,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:02:41Z,25-34,"Accounting, Banking & Finance",Accounting Manager,NA,60000,,USD,,NA,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:02:45Z,25-34,Education (Higher Education),Scholarly Publishing Librarian,NA,62000,,USD,,NA,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
2021-04-27T11:02:50Z,25-34,Publishing,Publishing Assistant,NA,33000,,USD,,NA,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:02:59Z,25-34,Education (Primary/Secondary),Librarian,"High school, FT",50000,,USD,,NA,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
2021-04-27T11:03:01Z,45-54,Computing or Tech,Systems Analyst,Data developer/ETL Developer,112000,,USD,,NA,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:03:01Z,35-44,"Accounting, Banking & Finance",Senior Accountant,NA,45000,,USD,,I work for a Charter School,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T11:03:02Z,25-34,Nonprofits,Office Manager,NA,47500,,USD,,NA,United States,NA,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
2021-04-27T11:03:07Z,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,NA,62000,,USD,,NA,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T11:03:09Z,35-44,"Accounting, Banking & Finance",Manager of Information Services,NA,100000,,USD,,NA,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
2021-04-27T11:03:09Z,25-34,Law,Legal Aid Staff Attorney,non-profit law firm,52000,,USD,,NA,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,NA,Woman,White
2021-04-27T11:03:10Z,18-24,Health care,Patient care coordinator,NA,32000,,CAD,,NA,Canada,NA,Remote,1 year or less,1 year or less,College degree,Woman,White
2021-04-27T11:03:11Z,35-44,Utilities & Telecommunications,Quality And Compliance Specialist,NA,24000,,GBP,,NA,United Kingdom,NA,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
2021-04-27T11:03:13Z,35-44,Business or Consulting,Executive Assistant,NA,85000,,USD,,NA,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
2021-04-27T11:03:18Z,45-54,Art & Design,graphic designer,NA,59000,,USD,,NA,usa,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:03:20Z,35-44,Business or Consulting,Senior Manager,NA,98000,,USD,,NA,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:03:23Z,35-44,Education (Higher Education),Assistant Director of Academic Advising,NA,54000,,USD,,NA,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:03:23Z,25-34,Health care,Data Programmer Analyst,NA,74000,,USD,,NA,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:03:24Z,35-44,Nonprofits,Program Coordinator & Assistant Editor,NA,50000,,USD,,NA,United States,NA,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
2021-04-27T11:03:27Z,35-44,Nonprofits,Event Planner,NA,63000,,CAD,,NA,Canada,NA,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:03:28Z,35-44,Government and Public Administration,Researcher,NA,96000,,USD,,NA,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
2021-04-27T11:03:31Z,25-34,Public Library,Teen Librarian,NA,44500,,USD,,NA,US,Florida,Bradenton,5-7 years,2 - 4 years,NA,Woman,White
2021-04-27T11:03:34Z,35-44,Education (Higher Education),Communications Specialist,NA,60000,,USD,,NA,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
2021-04-27T11:03:37Z,25-34,Nonprofits,Program Director,I manage staff members who each manage 8-15 other people.,62000,,USD,,NA,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
2021-04-27T11:03:40Z,35-44,Law,Bookkeeper/Billing Manager,NA,48000,,USD,,NA,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
2021-04-27T11:03:41Z,35-44,Government and Public Administration,Economist,NA,140000,,USD,,NA,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:03:42Z,25-34,Engineering or Manufacturing,Research Engineer,NA,80000,,USD,,NA,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T11:03:43Z,25-34,Nonprofits,Volunteer and Giving Coordinator,NA,39000,,USD,,NA,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:03:43Z,35-44,Media & Digital,Editor,NA,125000,,USD,,NA,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:03:45Z,25-34,"Accounting, Banking & Finance",Financial Advisor,NA,230000,,USD,,Commission based,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:03:45Z,35-44,"Accounting, Banking & Finance",Accounting Manager,NA,110000,,USD,,NA,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:03:53Z,25-34,Nonprofits,Administrative and HR Manager,NA,50000,,USD,,NA,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:03:54Z,35-44,Education (Higher Education),Senior IRB Analyst,"State university, higher ed research adminstration",68000,,USD,,NA,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:03:55Z,18-24,Media & Digital,Reporter,NA,41000,,USD,,NA,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:03:56Z,25-34,"Accounting, Banking & Finance",Senior Administrator,NA,76000,,USD,,NA,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:03:57Z,35-44,Government and Public Administration,Staff Services Manager II,"Mid-level manager, team of 13",78000,,USD,,NA,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:03:58Z,25-34,"Accounting, Banking & Finance",Receptionist,NA,37000,,USD,,NA,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:04:01Z,45-54,Engineering or Manufacturing,Lead Engineer,supervisor level with no direct reports,100000,,USD,,NA,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:04:01Z,35-44,"Marketing, Advertising & PR",Senior Copywriter,NA,35000,,GBP,,NA,UK,NA,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:04:01Z,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,NA,65000,,USD,,NA,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
2021-04-27T11:04:03Z,25-34,Computing or Tech,Principal Software Engineer,NA,187500,,USD,,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:04:03Z,25-34,Computing or Tech,Intelligence Analyst,NA,110000,,USD,,"Around 20,000 a year in stock",USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
2021-04-27T11:04:04Z,25-34,Nonprofits,Project Manager,NA,66625,,USD,,NA,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
